taxonomy_version,category_type,year,category,label,short_label,supergroup,display_order,paper_count,count,share_of_papers
0.3,primary,2016,generation_completion_editing,"Generation, Completion & Editing",Generation & Completion,synthesis_interaction,14,75,2,0.026667
0.3,primary,2016,robotics_embodied_interaction,"Robotics, Embodied Vision & Interaction",Robotics & Embodied Vision,synthesis_interaction,15,75,0,0.0
0.3,primary,2016,datasets_benchmarks_evaluation,"Datasets, Benchmarks & Evaluation",Datasets & Benchmarks,resources_applications,16,75,4,0.053333
0.3,primary,2016,ar_vr_hci_applied_systems,"AR/VR, HCI & Applied 3D Systems",AR/VR & HCI,resources_applications,17,75,0,0.0
0.3,primary,2017,sensing_acquisition_calibration,"Sensing, Acquisition & Calibration",Sensing & Calibration,capture_geometry,1,73,4,0.054795
0.3,primary,2017,depth_stereo_shape_from_x,"Depth, Stereo & Shape-from-X",Depth & Stereo,capture_geometry,2,73,5,0.068493
0.3,primary,2017,multiview_geometry_sfm_photogrammetry,"Multi-view Geometry, SfM & Photogrammetry",Multi-view Geometry & SfM,capture_geometry,3,73,8,0.109589
0.3,primary,2017,registration_correspondence_matching,"Registration, Correspondence & Shape Matching",Registration & Correspondence,capture_geometry,4,73,7,0.09589
0.3,primary,2017,slam_localization_mapping,"SLAM, Localization & Mapping",SLAM & Mapping,capture_geometry,5,73,6,0.082192
0.3,primary,2017,reconstruction_fusion_modeling,"Reconstruction, Fusion & Geometric Modeling",Reconstruction & Fusion,capture_geometry,6,73,10,0.136986
0.3,primary,2017,representations_features,3D Representations & Embeddings,3D Representations & Embeddings,representation_understanding,7,73,2,0.027397
0.3,primary,2017,geometry_shape_processing,Geometry & Shape Processing,Geometry Processing,representation_understanding,8,73,2,0.027397
0.3,primary,2017,recognition_detection_retrieval,"Recognition, Detection & Retrieval",Recognition & Detection,representation_understanding,9,73,2,0.027397
0.3,primary,2017,segmentation_scene_understanding,Segmentation & Scene Understanding,Segmentation & Scene Understanding,representation_understanding,10,73,3,0.041096
0.3,primary,2017,humans_faces_hands_avatars,"Humans, Faces, Hands & Avatars",Humans & Avatars,representation_understanding,11,73,7,0.09589
0.3,primary,2017,motion_tracking_dynamic_4d,"Motion, Tracking & Dynamic/4D Vision",Motion & 4D,representation_understanding,12,73,10,0.136986
0.3,primary,2017,rendering_novel_views_appearance,"Rendering, Novel Views & Appearance",Rendering & Novel Views,synthesis_interaction,13,73,0,0.0
0.3,primary,2017,generation_completion_editing,"Generation, Completion & Editing",Generation & Completion,synthesis_interaction,14,73,2,0.027397
0.3,primary,2017,robotics_embodied_interaction,"Robotics, Embodied Vision & Interaction",Robotics & Embodied Vision,synthesis_interaction,15,73,1,0.013699
0.3,primary,2017,datasets_benchmarks_evaluation,"Datasets, Benchmarks & Evaluation",Datasets & Benchmarks,resources_applications,16,73,4,0.054795
0.3,primary,2017,ar_vr_hci_applied_systems,"AR/VR, HCI & Applied 3D Systems",AR/VR & HCI,resources_applications,17,73,0,0.0
0.3,primary,2018,sensing_acquisition_calibration,"Sensing, Acquisition & Calibration",Sensing & Calibration,capture_geometry,1,81,3,0.037037
0.3,primary,2018,depth_stereo_shape_from_x,"Depth, Stereo & Shape-from-X",Depth & Stereo,capture_geometry,2,81,13,0.160494
0.3,primary,2018,multiview_geometry_sfm_photogrammetry,"Multi-view Geometry, SfM & Photogrammetry",Multi-view Geometry & SfM,capture_geometry,3,81,4,0.049383
0.3,primary,2018,registration_correspondence_matching,"Registration, Correspondence & Shape Matching",Registration & Correspondence,capture_geometry,4,81,8,0.098765
0.3,primary,2018,slam_localization_mapping,"SLAM, Localization & Mapping",SLAM & Mapping,capture_geometry,5,81,3,0.037037
0.3,primary,2018,reconstruction_fusion_modeling,"Reconstruction, Fusion & Geometric Modeling",Reconstruction & Fusion,capture_geometry,6,81,6,0.074074
0.3,primary,2018,representations_features,3D Representations & Embeddings,3D Representations & Embeddings,representation_understanding,7,81,6,0.074074
0.3,primary,2018,geometry_shape_processing,Geometry & Shape Processing,Geometry Processing,representation_understanding,8,81,4,0.049383
0.3,primary,2018,recognition_detection_retrieval,"Recognition, Detection & Retrieval",Recognition & Detection,representation_understanding,9,81,2,0.024691
0.3,primary,2018,segmentation_scene_understanding,Segmentation & Scene Understanding,Segmentation & Scene Understanding,representation_understanding,10,81,8,0.098765
